id,keyword
1,武漢
2,人台
3,盧秀燕
4,台商
5,中央
6,口罩
7,亂段
8,外科
9,侯友宜
10,名制
11,民眾
12,小內閣
13,首長
14,市府
15,台人回國
16,規範
17,不統
18,委酸
19,部會
20,郝龍斌
21,主席
22,賴清德
23,蕭美琴
24,周限
25,彈性
26,措施
27,政府
28,成薪
29,國人
30,台海基
31,洪孟楷
32,眾人
33,政策
34,政院
35,制限
36,拍板
37,幹嘛
38,包機
39,制民眾
40,天限
41,北市
42,地點
43,王世堅
44,收容
45,回家
46,黨員
47,糖尿病
48,醫療
49,機構
50,戰備
51,兒童
52,鄭文燦
53,儲量
54,經濟
55,部動員
56,軍人
57,人手
58,民主
59,政治
60,幹部
61,蘇系
62,成員
63,江啟臣
64,黃捷
65,金紙
66,開學
67,地方
68,位武漢
69,會長
70,最新消息
71,黃偉哲
72,課輔
73,寒假
74,教育局
75,台灣
76,排隊
77,全台
78,民怨
79,保卡
80,蔡壁
81,中國
82,大陸
83,史瓦帝尼
84,友邦
85,家長
86,賴正鎰
87,小孩
88,成本
89,邏輯
90,防武漢
91,時機
92,社論
93,遭義
94,吳釗燮
95,大利
96,台人
97,證實
98,人數
99,防部
100,派兵
101,堵武漢
102,拒台灣
103,飛機
104,抗議
105,義禁
106,入境
107,根源
108,越南
109,事件
110,以色列
111,台越
112,航線
113,年齡
114,投票
115,選黨
116,飛彈
117,西藏
118,蒙古
119,立院
120,院長
121,疑藍委
122,錯票
123,賴品妤
124,高票
125,妻度
126,露面
127,黑人
128,新任
129,關鍵期
130,影民
131,眾黨
132,游錫
133,龍頭
134,陸正
135,中華民國
136,高嘉瑜
137,雷聲
138,大雨
139,營區
140,空置
141,風暴
142,肺炎
143,記者
144,決心
145,奶爸
146,收容所
147,韓國瑜
148,影選民
149,幼教
150,海島
151,國家
152,比基尼
153,市小
154,內閣
155,新聞
156,局長
157,丁樂群
158,問題
159,全力
160,蘇嘉全
161,戰士
162,戰場
163,時候
164,王金平
165,疫情
166,高齡
167,韓陣營
168,沈富雄
169,缺席
170,新北
171,議員
172,數量
173,孩童
174,世界
175,何志偉
176,蘇揆
177,見面
178,社會
179,軍武
180,運輸機
181,土耳其
182,黃國昌
183,存款
184,環狀線
185,哲建議
186,戰術
187,速度
188,通車
189,侯友宜捷
190,政黨
191,顏色
192,哲因
193,侯友宜卡
194,同台
195,蘇貞昌
196,葉毓蘭
197,台美
198,撰文
199,蔣萬安
200,林為洲
201,正妹
202,教師
203,穿衣服
204,原因
205,尹立歡
206,公教
207,階段
208,市民
209,領表
210,吳怡
211,議題
212,我帥
213,天成
214,私刑
215,選人
216,鳥片
217,性騷
218,台南
219,表態
220,狀線
221,陸生
222,考量
223,武漢封
224,專機
225,城防
226,大器
227,生涯
228,國台
229,范瑋琪
230,狗官
231,總動員
232,信心
233,帥哥
234,總理
235,杜魯道
236,加拿大
237,政見
238,言詞
239,交鋒
240,安倍
241,澳洲
242,政壇
243,黨團
244,染紅者
245,時力
246,國會
247,權游
248,局處
249,計畫
250,會議
251,隔離區
252,車隊
253,配套措施
254,家人
255,小心
256,調度
257,段宜康
258,防病毒
259,臉書
260,騎車
261,開車
262,走路
263,先存
264,因應
265,戴著
266,靜劑
267,劑段
268,配額
269,制度
270,服部
271,限次
272,特約
273,藥局
274,市長
275,於捷運
276,外國人
277,標準
278,外國
279,醫護人員
280,公務
281,體系
282,歷任
283,台南市
284,國際
285,團隊
286,觀光
287,職務
288,足食
289,黃偉
290,哲期
291,熱忱
292,態度
293,旅客
294,情緒
295,人員士
296,專案
297,任務
298,下機
299,作業
300,時間
301,高昂
302,病毒
303,總統
304,班機
305,機上
306,全體
307,行政院
308,張育美
309,北埔
310,卡領
311,標示
312,人實
313,選區
314,台北市
315,職位
316,青壯
317,主管
318,當務
319,心態
320,中興
321,梯隊
322,專職
323,專心
324,大眾
325,黨務
326,決策
327,記向黨
328,郝登
329,胡志強
330,議會
331,美國
332,行程
333,華府
334,民間
335,機會
336,媒體
337,性拜會
338,協商
339,經驗
340,宗教自由
341,身分
342,私人
343,友人
344,王育敏
345,實名制
346,黨部
347,服務業
348,文傳會
349,辦公
350,大樓
351,公車
352,機制
353,醫院
354,著處
355,學童
356,建議
357,家庭
358,來源
359,薪津
360,辦理
361,財源
362,金應
363,責任
364,數約
365,經費
366,假人
367,主委
368,機場
369,媒報
370,本會
371,專線
372,桃園
373,協處
374,派員
375,家屬
376,武漢國
377,協會
378,結果
379,續本會
380,通路
381,降價
382,現實
383,狀況
384,實地
385,喉嚨
386,規定
387,產量
388,行政部
389,人人
390,全國
391,終於正
392,亂象
393,疾管署
394,說法
395,縣市
396,台胞
397,密件
398,交由
399,中南
400,宿舍
401,消息
